id,base,item_class,goals,goal_shape,source_case,origin_economy,source_role,evidence,reason,source_url,execution_ref_to_validate
CB01,Conquest Lamellar,Body Armour,5,empty to five; three-prefix/two-suffix reference,fixtures/solver-quality-ladder/v1/cases/conquest-lamellar-allflame-clean-5-goal-product8.json,Allflame,repeatedly exposed development,"be55360 F10/F14 ordinary short native/WASM retain L=405.3694021063399, U=85558.70618560436. F8 long diagnostic strengthens 191505 obligations but hits replay-backed partition memory; same root interval, not exact.",Keep the familiar sentinel; distinguish default delivery from diagnostic proof-memory demand.,https://github.com/OliverOrton/poecraft2/blob/317438392c88c0151f41e48b4b0323b06b1d0037/fixtures/solver-quality-ladder/v1/cases/conquest-lamellar-allflame-clean-5-goal-product8.json,be553608ecabde28a3dec07856255911459ec97d
CB02,Conquest Lamellar,Body Armour,4,empty to four; two-sided strict-closure bridge,fixtures/solver-quality-ladder/v1/cases/conquest-lamellar-allflame-clean-4-goal-product8.json,Allflame,repeatedly exposed development,"be55360 F9/F13 short results retain L=198.8334996747695, U=5218.040949685988. F7 gets 178.287 s strict work and 74015 stronger obligations, zero noncompetitive retirements, same root interval. Old parent-4741 boundary passed; frontier completion remains.",Demanded-frontier completion cost and source-floor utility after a working proof handoff; not another table-extent investigation.,https://github.com/OliverOrton/poecraft2/blob/317438392c88c0151f41e48b4b0323b06b1d0037/fixtures/solver-quality-ladder/v1/cases/conquest-lamellar-allflame-clean-4-goal-product8.json,be553608ecabde28a3dec07856255911459ec97d
CB03,Conquest Lamellar,Body Armour,5,partial three to original five-goal target,fixtures/solver-quality-ladder/v1/cases/conquest-lamellar-allflame-partial-3-to-5-product8.json,Allflame,repeatedly exposed development,"August 26 U about 80720.79; last retained pre-be55360 U=794067.4530398862. Not freshly qualified by F9–F11; unresolved regression candidate, not a matched replay finding.",Expose loss hidden by comparison only with a much worse intermediate baseline,https://github.com/OliverOrton/poecraft2/blob/317438392c88c0151f41e48b4b0323b06b1d0037/fixtures/solver-quality-ladder/v1/cases/conquest-lamellar-allflame-partial-3-to-5-product8.json,be553608ecabde28a3dec07856255911459ec97d
CB04,Spine Bow,Bow,4,empty to four; three-prefix/one-suffix,fixtures/solver-quality-ladder/v1/cases/spine-bow-allflame-clean-4-goal-product8.json,Allflame,known regression/control case,"August 26 state cap, U about 223349.00; latest outcome not established by this audit","Non-armour scope, weapon pool, generated programs, state-cap sensitivity",https://github.com/OliverOrton/poecraft2/blob/317438392c88c0151f41e48b4b0323b06b1d0037/fixtures/solver-quality-ladder/v1/cases/spine-bow-allflame-clean-4-goal-product8.json,be553608ecabde28a3dec07856255911459ec97d
CB05,Spine Bow,Bow,5,empty to five; three-prefix/two-suffix,fixtures/solver-quality-ladder/v1/cases/spine-bow-allflame-clean-5-goal-product8.json,Allflame,known development/reference,"August 26 state cap, U about 17073119024.23; latest outcome unmeasured here",Same goal count as Conquest without assuming the same mechanics or continuation structure,https://github.com/OliverOrton/poecraft2/blob/317438392c88c0151f41e48b4b0323b06b1d0037/fixtures/solver-quality-ladder/v1/cases/spine-bow-allflame-clean-5-goal-product8.json,be553608ecabde28a3dec07856255911459ec97d
CB06,Amethyst Ring,Ring,2,empty to two; preserve exact file goal ordering and native resolution,fixtures/solver-quality-ladder/v1/cases/amethyst-ring-allflame-clean-2-goal-product8.json,Allflame,known development/reference,"August 26 memory cap at about 7.5 seconds, no policy; latest outcome unmeasured here",Few-goal early failure; tests whether a costly proof setup or eager kernels prevent any usable policy,https://github.com/OliverOrton/poecraft2/blob/317438392c88c0151f41e48b4b0323b06b1d0037/fixtures/solver-quality-ladder/v1/cases/amethyst-ring-allflame-clean-2-goal-product8.json,be553608ecabde28a3dec07856255911459ec97d
CB07,Amethyst Ring,Ring,4,"empty to four; evasion, fire resistance, added cold, attributes; native-resolve sides",fixtures/solver-quality-ladder/v1/cases/amethyst-ring-allflame-clean-4-goal-product8.json,Allflame,known development/reference,"August 26 memory cap at about 23.5 seconds, U about 3725358919.50; latest outcome unmeasured here","Different exclusions and pool shape, no assumed armour-side strategy",https://github.com/OliverOrton/poecraft2/blob/317438392c88c0151f41e48b4b0323b06b1d0037/fixtures/solver-quality-ladder/v1/cases/amethyst-ring-allflame-clean-4-goal-product8.json,be553608ecabde28a3dec07856255911459ec97d
CB08,Onyx Amulet,Amulet,3,"SSS: lightning damage, chaos resistance, all resistances",fixtures/solver-natural-t1/v1/cases/natural-t1-full-three-24920b3b28de.json,Mirage,"validation stratum, already published/exposed",Historical complete Chaos support 3204323; actual current product runtime not measured,Very large successor support even though goals are same-side and only three,https://github.com/OliverOrton/poecraft2/blob/317438392c88c0151f41e48b4b0323b06b1d0037/fixtures/solver-natural-t1/v1/cases/natural-t1-full-three-24920b3b28de.json,be553608ecabde28a3dec07856255911459ec97d
CB09,Amethyst Ring,Ring,3,"PSS: rare added-cold prefix, fire resistance and fire damage suffixes",fixtures/solver-natural-t1/v1/cases/natural-t1-deep-three-low-probability-af4719c816f3.json,Mirage,"frozen_test stratum, explicitly already published/exposed",Historical complete Chaos support 712877; not a current product measurement,Probability skew and mixed sides distinct from the quality-ladder Ring goals,https://github.com/OliverOrton/poecraft2/blob/317438392c88c0151f41e48b4b0323b06b1d0037/fixtures/solver-natural-t1/v1/cases/natural-t1-deep-three-low-probability-af4719c816f3.json,be553608ecabde28a3dec07856255911459ec97d
CB10,Jewelled Foil,Thrusting One Hand Sword,4,"PPSS: physical %, added fire, accuracy, mana leech",fixtures/solver-natural-t1/v1/cases/natural-t1-deep-four-low-probability-1a1102b0e06b.json,Mirage,"frozen_test stratum, explicitly already published/exposed",Historical complete Chaos support 222580; historical early expansion/state-cap problem,"Rare target weight 25, weapon exclusion structure, balanced side goals",https://github.com/OliverOrton/poecraft2/blob/317438392c88c0151f41e48b4b0323b06b1d0037/fixtures/solver-natural-t1/v1/cases/natural-t1-deep-four-low-probability-1a1102b0e06b.json,be553608ecabde28a3dec07856255911459ec97d
